Source,Order,Family,Genus,Species,Namelist,Include_hybpiper,filename
PAFTOL,Magnoliales,Annonaceae,Fusaea,peruviana,P_012837,1,P_012837_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Goniothalamus,borneensis,P_012839,1,P_012839_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Greenwayodendron,suavoelens,P_012841,1,P_012841_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Guatteria,jefensis,P_012843,1,P_012843_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Hexalobus,crispiflorus,P_012845,1,P_012845_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Hornschuchia,alba,P_012847,1,P_012847_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Isolona,pleurocarpa,P_012849,1,P_012849_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Klarobelia,candida,P_012851,1,P_012851_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Letestudoxa,bella,P_012853,1,P_012853_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Lettowianthus,stellatus,P_012855,1,P_012855_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Malmea,surinamensis,P_012857,1,P_012857_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Marsypopetalum,littorale,P_012859,1,P_012859_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Meiocarpidium,oliverianum,P_012861,1,P_012861_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Meiogyne,sp.,P_012863,1,P_012863_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Mischogyne,elliotianum,P_012865,1,P_012865_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Mkilua,fragrans,P_012867,1,P_012867_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Monanthotaxis,congoensis,P_012869,1,P_012869_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Monodora,myristica,P_012871,1,P_012871_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Monoon,erianthoides,P_012873,1,P_012873_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Mosannona,vasquezii,P_012875,1,P_012875_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Mwasumbia,alba,P_012877,1,P_012877_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Neostenanthera,myristicifolia,P_012879,1,P_012879_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Neo-uvaria,acuminatissima,P_012881,1,P_012881_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Onychopetalum,periquino,P_012883,1,P_012883_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Orophea,sp.,P_012885,1,P_012885_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Oxandra,asbeckii,P_012887,1,P_012887_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Phaeanthus,splendens,P_012889,1,P_012889_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Piptostigma,calophyllum,P_012891,1,P_012891_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Polyalthia,insignis,P_012893,1,P_012893_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Polyceratocarpus,parviflorus,P_012895,1,P_012895_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Popowia,alata,P_012897,1,P_012897_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Porcelia,venezuelensis,P_012899,1,P_012899_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Pseudephedranthus,enigmaticus,P_012901,1,P_012901_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Pseudoxandra,angustifolia,P_012903,1,P_012903_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Ruizodendron,ovale,P_012905,1,P_012905_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Sageraea,lanceolata,P_012907,1,P_012907_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Sanrafaelia,ruffonammari,P_012909,1,P_012909_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Sapranthus,viridiflorus,P_012911,1,P_012911_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Sirdavidia,solannona,P_012913,1,P_012913_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Sphaerocoryne,gracilipes,P_012915,1,P_012915_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Stenanona,humilis,P_012917,1,P_012917_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Tetrameranthus,duckei,P_012919,1,P_012919_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Tetrameranthus,laomae,P_012921,1,P_012921_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Trigynaea,sp.,P_012923,1,P_012923_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Unonopsis,spectabilis,P_012925,1,P_012925_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Uvaria,grandiflora,P_012927,1,P_012927_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Uvariastrum,pierreannum,P_012929,1,P_012929_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Uvariodendron,molundense_var._citrata,P_012931,1,P_012931_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Uvariopsis,dioica,P_012933,1,P_012933_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Uvariopsis,vanderystii,P_012935,1,P_012935_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Xylopia,peruviana,P_012939,1,P_012939_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Anaxagorea,brachycarpa,P_012941,1,P_012941_R1.fastq.gz
PAFTOL,Laurales,Siparunaceae,Glossocalyx,longicuspis,P_014083,1,P_014083_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Osteophloeum,platyspermum,P_014095,1,P_014095_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Bicuiba,oleifera,P_014097,1,P_014097_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Iryanthera,sp.,P_014099,1,P_014099_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Otoba,novogranatensis,P_016787,1,P_016787_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Virola,koschnyia,P_016789,1,P_016789_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Compsoneura,excelsa,P_016791,1,P_016791_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Endocomia,canarioides,P_016793,1,P_016793_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Horsfieldia,suberba,P_016795,1,P_016795_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Knema,laurina,P_016797,1,P_016797_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Myristica,lowiana,P_016799,1,P_016799_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Laurus,azorica,P_016813,1,P_016813_R1.fastq.gz
PAFTOL,Chloranthales,Chloranthaceae,Ascarina,rubricaulis,P_016909,1,P_016909_R1.fastq.gz
PAFTOL,Piperales,Aristolochiaceae,Asarum,europaeum,P_016915,1,P_016915_R1.fastq.gz
PAFTOL,Canellales,Winteraceae,Takhtajania,perrieri,P_016921,1,P_016921_R1.fastq.gz
PAFTOL,Laurales,Lauraceae,Neocinnamomum,caudatum,P_018635,1,P_018635_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Ambavia,capuronii,P_018637,1,P_018637_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Mauloutchia,chapelieri,P_018639,1,P_018639_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Cephalosphaera,usambarensis,P_018645,1,P_018645_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Monocarpia,kalimantanensis,P_018689,1,P_018689_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Scyphocephalium,mannii,P_018691,1,P_018691_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Coelocaryon,preussii,P_018693,1,P_018693_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Staudtia,kamerunensis,P_018695,1,P_018695_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Brochoneura,acuminata,P_018779,1,P_018779_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Haematodendron,glabrum,P_018781,1,P_018781_R1.fastq.gz
PAFTOL,Magnoliales,Myristicaceae,Pycnanthus,angolensis,P_018783,1,P_018783_R1.fastq.gz
PAFTOL,Chloranthales,Chloranthaceae,Sarcandra,glabra,P_018831,1,P_018831_R1.fastq.gz
PAFTOL,Piperales,Saururaceae,Anemopsis,californica,P_019185,1,P_019185_R1.fastq.gz
PAFTOL,Canellales,Canellaceae,Capsicodendron,dinisii,P_019187,1,P_019187_R1.fastq.gz
PAFTOL,Piperales,Aristolochiaceae,Lactoris,fernandeziana,P_019189,1,P_019189_R1.fastq.gz
PAFTOL,Piperales,Piperaceae,Manekia,incurva,P_019191,1,P_019191_R1.fastq.gz
PAFTOL,Canellales,Canellaceae,Pleodendron,costaricense,P_019193,1,P_019193_R1.fastq.gz
PAFTOL,Piperales,Aristolochiaceae,Thottea,siliquosa,P_019197,1,P_019197_R1.fastq.gz
PAFTOL,Piperales,Piperaceae,Zippelia,begoniifolia,P_019199,1,P_019199_R1.fastq.gz
PAFTOL,Piperales,Aristolochiaceae,Lactoris,fernandeziana,P0102B,1,P0102B_R1.fastq.gz
PAFTOL,Laurales,Hernandiaceae,Hernandia,peltata,P0104A,1,P0104A_R1.fastq.gz
PAFTOL,Chloranthales,Chloranthaceae,Chloranthus,spicatus,P0109B,1,P0109B_R1.fastq.gz
PAFTOL,Magnoliales,Magnoliaceae,Liriodendron,chinense,P0110C,1,P0110C_R1.fastq.gz
PAFTOL,Piperales,Aristolochiaceae,Hydnora,johannis,P0110D,1,P0110D_R1.fastq.gz
PAFTOL,Chloranthales,Chloranthaceae,Hedyosmum,arborescens,P0203H,1,P0203H_R1.fastq.gz
PAFTOL,Magnoliales,Magnoliaceae,Magnolia,acuminata,P0206G,1,P0206G_R1.fastq.gz
PAFTOL,Magnoliales,Magnoliaceae,Magnolia,compressa,P0207B,1,P0207B_R1.fastq.gz
PAFTOL,Piperales,Saururaceae,Saururus,chinensis,P2589,1,P2589_R1.fastq.gz
PAFTOL,Piperales,Piperaceae,Piper,nigrum,P2590,1,P2590_R1.fastq.gz
PAFTOL,Laurales,Siparunaceae,Siparuna,guianensis,P2619,1,P2619_R1.fastq.gz
PAFTOL,Magnoliales,Degeneriaceae,Degeneria,vitiensis,P2622,1,P2622_R1.fastq.gz
PAFTOL,Magnoliales,Himantandraceae,Galbulimima,belgraveana,P2623,1,P2623_R1.fastq.gz
PAFTOL,Piperales,Aristolochiaceae,Hydnora,abyssinica,P4172,1,P4172_R1.fastq.gz
PAFTOL,Canellales,Winteraceae,Pseudowintera,colorata,Pcol,1,Pcol_R1.fastq.gz
PAFTOL,Laurales,Siparunaceae,Siparuna,guianensis,Sdec,1,Sdec_R1.fastq.gz
PAFTOL,Canellales,Canellaceae,Warburgia,salutaris,Wsal,1,Wsal_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Otoba,parvifolia,S02,1,S02_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Iryanthera,hostmannii,S03,1,S03_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Virola,macrocarpa,S04,1,S04_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Virola,officinalis,S06,1,S06_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Virola,sp,S07,1,S07_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Osteophloeum,platyspermum,S08,1,S08_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Iryanthera,cfparaensis,S24,1,S24_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Virola,subsessilis,S25,1,S25_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Virola,officinalis,S27,1,S27_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Bicuiba,oleifera,S38,1,S38_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Otoba,parvifolia,S39,1,S39_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Otoba,parvifolia,S44,1,S44_R1.fastq.gz
SMDO,Magnoliales,Myristicaceae,Bicuiba,oleifera,S47,1,S47_R1.fastq.gz
